RunID,Data_Source_Name,Application_Name,Table_Name,Attribute_Name,inComingRule,Primary_key_val,ErrVal,ErrCd,Action,ErrMsg,Run_Timestamp
local-1597408445474,MS1,AIT1,AIT_Table_1,AppIntegrateWithOtherApps,DQ6,208,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,211,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,213,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,221,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,226,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,228,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,231,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,233,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,233,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,235,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,236,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,240,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,240,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,243,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,244,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,245,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,251,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,252,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,252,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,254,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,257,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,258,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,262,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,266,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,266,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,270,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,273,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,274,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,275,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,278,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,278,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,278,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,278,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,278,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,278,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppIntegrateWithOtherApps,DQ6,278,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppUseWebTech,DQ6,278,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,282,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,284,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,287,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,289,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,294,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,294,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,299,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,299,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,299,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,300,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,300,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,302,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
